education,gender,nuts1,parameter_set,population
no_qualifications,female,UKK,4,113884.69604391392
no_qualifications,female,UKL,4,126766.29993773048
no_qualifications,female,UKM,4,229470.26470053333
level_one,male,UKC,4,250650.80060352167
level_one,male,UKD,4,597340.453455658
level_one,male,UKE,4,431933.92573335825
level_one,male,UKF,4,406111.7221196284
level_one,male,UKG,4,502983.74250836635
level_one,male,UKH,4,538460.9043389608
level_one,male,UKI,4,435982.1266719118
level_one,male,UKJ,4,692753.8273934956
level_one,male,UKK,4,456948.51120563253
level_one,male,UKL,4,266187.2771721089
level_one,male,UKM,4,308713.2540407571
level_one,female,UKC,4,304977.3114952866
level_one,female,UKD,4,745461.1250340153
level_one,female,UKE,4,564962.1222284284
level_one,female,UKF,4,502811.00003422156
level_one,female,UKG,4,588097.6443672508
level_one,female,UKH,4,659811.5974174428
level_one,female,UKI,4,523034.9129852087
level_one,female,UKJ,4,828102.825769196
level_one,female,UKK,4,555297.4154212122
level_one,female,UKL,4,315447.05693879933
level_one,female,UKM,4,406454.7019078547
level_two,male,UKC,4,293167.1909619305
level_two,male,UKD,4,722164.3055793635
level_two,male,UKE,4,596889.4579958802
level_two,male,UKF,4,526063.463178287
level_two,male,UKG,4,546251.1798919822
level_two,male,UKH,4,569951.8125105401
level_two,male,UKI,4,573714.6117051512
level_two,male,UKJ,4,880528.3985953482
level_two,male,UKK,4,609364.7553762525
level_two,male,UKL,4,322391.46874088823
level_two,male,UKM,4,580084.3319732423
level_two,female,UKC,4,239373.0662392195
level_two,female,UKD,4,647033.9817113267
level_two,female,UKE,4,496173.33249936375
level_two,female,UKF,4,458809.80409439484
level_two,female,UKG,4,472227.5661265285
level_two,female,UKH,4,534708.2292622504
level_two,female,UKI,4,560028.1083462954
level_two,female,UKJ,4,765510.205806404
level_two,female,UKK,4,539918.7011529014
level_two,female,UKL,4,258847.76538292348
level_two,female,UKM,4,432637.7123718439
level_three,male,UKC,4,165481.5725078456
level_three,male,UKD,4,498651.30171191844
level_three,male,UKE,4,402788.0389552723
level_three,male,UKF,4,366620.3487230213
level_three,male,UKG,4,387835.59573537786
level_three,male,UKH,4,419288.4868687104
level_three,male,UKI,4,592402.4880403103
level_three,male,UKJ,4,607082.284986851
level_three,male,UKK,4,385614.56077566504
level_three,male,UKL,4,229447.9023577862
level_three,male,UKM,4,448886.80636525556
level_three,female,UKC,4,181369.47277864913
level_three,female,UKD,4,461910.61361758126
level_three,female,UKE,4,373746.466881619
level_three,female,UKF,4,348917.0029368384
level_three,female,UKG,4,389612.7621747074
level_three,female,UKH,4,425648.83263488545
level_three,female,UKI,4,597954.2840317365
level_three,female,UKJ,4,618207.5184823225
level_three,female,UKK,4,386339.8147780206
level_three,female,UKL,4,228664.9287319109
level_three,female,UKM,4,513673.3049495909
level_four,male,UKC,4,229119.79986108953
level_four,male,UKD,4,697831.1414639604
level_four,male,UKE,4,480831.39445326745
level_four,male,UKF,4,404131.97000481415
level_four,male,UKG,4,523442.2824989557
level_four,male,UKH,4,656517.1099402774
level_four,male,UKI,4,1564498.2952350914
level_four,male,UKJ,4,1103566.3104300478
level_four,male,UKK,4,599340.0861923175
level_four,male,UKL,4,286285.25846156105
level_four,male,UKM,4,562361.8116703983
level_four,female,UKC,4,266172.9664452874
level_four,female,UKD,4,808141.0223081372
level_four,female,UKE,4,552128.2791753534
level_four,female,UKF,4,461980.61743576976
level_four,female,UKG,4,595173.502030407
level_four,female,UKH,4,685657.0387572182
level_four,female,UKI,4,1580479.618864306
level_four,female,UKJ,4,1263521.9002225408
level_four,female,UKK,4,697194.2582090679
level_four,female,UKL,4,355485.0003411521
level_four,female,UKM,4,709486.4824702167
no_qualifications,male,UKC,5,96333.00365473788
no_qualifications,male,UKD,5,276442.3362916333
no_qualifications,male,UKE,5,196999.80106242985
no_qualifications,male,UKF,5,140100.35413701992
no_qualifications,male,UKG,5,273366.9939651538
no_qualifications,male,UKH,5,186406.48954170282
no_qualifications,male,UKI,5,225750.64547811664
no_qualifications,male,UKJ,5,194933.5011805752
no_qualifications,male,UKK,5,117565.23979628377
no_qualifications,male,UKL,5,117085.22180839958
no_qualifications,male,UKM,5,212938.6179332388
no_qualifications,female,UKC,5,107706.79595256549
no_qualifications,female,UKD,5,277085.5544727402
no_qualifications,female,UKE,5,217899.87654067817
no_qualifications,female,UKF,5,148932.13076483915
no_qualifications,female,UKG,5,280881.9138216888
no_qualifications,female,UKH,5,187282.93506869415
no_qualifications,female,UKI,5,231422.87207298816
no_qualifications,female,UKJ,5,200123.1674542834
no_qualifications,female,UKK,5,113498.86862805067
no_qualifications,female,UKL,5,126718.38298655306
no_qualifications,female,UKM,5,229738.98966574
level_one,male,UKC,5,251772.89655746185
level_one,male,UKD,5,599249.4294268657
level_one,male,UKE,5,430630.31538591423
level_one,male,UKF,5,405629.34635744506
level_one,male,UKG,5,503028.15537771216
level_one,male,UKH,5,538075.7619954944
level_one,male,UKI,5,437327.0058454183
level_one,male,UKJ,5,692839.3949518224
level_one,male,UKK,5,457426.2026804176
level_one,male,UKL,5,266340.64094562054
level_one,male,UKM,5,307803.63886066864
level_one,female,UKC,5,304723.38708476775
level_one,female,UKD,5,745452.2402636936
level_one,female,UKE,5,563976.467211604
level_one,female,UKF,5,503871.4653115438
level_one,female,UKG,5,588550.2259673636
level_one,female,UKH,5,660778.3941765878
level_one,female,UKI,5,521707.3086338784
level_one,female,UKJ,5,828415.4364763921
level_one,female,UKK,5,555259.7177984002
