education,gender,nuts1,parameter_set,vote_intention,predicted_probability
level_one,female,UKF,1,ukip,6.80380346800299e-05
level_one,female,UKG,1,ukip,6.08925900719497e-07
level_one,female,UKH,1,ukip,2.01694578451151e-07
level_one,female,UKI,1,ukip,5.7719312810373e-07
level_one,female,UKJ,1,ukip,1.57308537174803e-08
level_one,female,UKK,1,ukip,3.7375836701147e-07
level_one,female,UKL,1,ukip,1.14910199094507e-07
level_one,female,UKM,1,ukip,1.16689445911871e-06
level_two,male,UKC,1,ukip,8.50153724702723e-09
level_two,male,UKD,1,ukip,5.45985475657461e-06
level_two,male,UKE,1,ukip,0.000336169987585019
level_two,male,UKF,1,ukip,0.00011990692019862
level_two,male,UKG,1,ukip,1.08286137740446e-06
level_two,male,UKH,1,ukip,3.53738992222623e-07
level_two,male,UKI,1,ukip,1.03894712710574e-06
level_two,male,UKJ,1,ukip,2.71788496313634e-08
level_two,male,UKK,1,ukip,6.38243377017715e-07
level_two,male,UKL,1,ukip,2.0719217763995e-07
level_two,male,UKM,1,ukip,2.06884596564534e-06
level_two,female,UKC,1,ukip,1.59655735191372e-08
level_two,female,UKD,1,ukip,1.03216533144076e-05
level_two,female,UKE,1,ukip,0.000637752076122844
level_two,female,UKF,1,ukip,0.00022973610885725
level_two,female,UKG,1,ukip,2.05558980961062e-06
level_two,female,UKH,1,ukip,6.81498767550227e-07
level_two,female,UKI,1,ukip,1.92153758875484e-06
level_two,female,UKJ,1,ukip,5.25353273086031e-08
level_two,female,UKK,1,ukip,1.22774441485097e-06
level_two,female,UKL,1,ukip,3.88656383380188e-07
level_two,female,UKM,1,ukip,3.93751153575175e-06
level_three,male,UKC,1,ukip,3.95135066746552e-08
level_three,male,UKD,1,ukip,2.50337385691118e-05
level_three,male,UKE,1,ukip,0.00153044756517072
level_three,male,UKF,1,ukip,0.00053920529704522
level_three,male,UKG,1,ukip,4.9363554602375e-06
level_three,male,UKH,1,ukip,1.56517411509175e-06
level_three,male,UKI,1,ukip,4.55968054652621e-06
level_three,male,UKJ,1,ukip,1.18511340444459e-07
level_three,male,UKK,1,ukip,2.68578466749726e-06
level_three,male,UKL,1,ukip,9.10071186647593e-07
level_three,male,UKM,1,ukip,9.44369763287804e-06
level_three,female,UKC,1,ukip,7.382964763467e-08
level_three,female,UKD,1,ukip,4.72619383041423e-05
level_three,female,UKE,1,ukip,0.00289916998229593
level_three,female,UKF,1,ukip,0.00104023873659268
level_three,female,UKG,1,ukip,9.40461522248905e-06
level_three,female,UKH,1,ukip,3.04410951259385e-06
level_three,female,UKI,1,ukip,8.46660896597318e-06
level_three,female,UKJ,1,ukip,2.31627111442523e-07
level_three,female,UKK,1,ukip,5.2307599129978e-06
level_three,female,UKL,1,ukip,1.71174668369361e-06
level_three,female,UKM,1,ukip,1.80349523903508e-05
level_four,male,UKC,1,ukip,3.76524033113128e-08
level_four,male,UKD,1,ukip,2.39602764729424e-05
level_four,male,UKE,1,ukip,0.0014833902109392
level_four,male,UKF,1,ukip,0.000515198215521762
level_four,male,UKG,1,ukip,4.8427256447121e-06
level_four,male,UKH,1,ukip,1.50330468512766e-06
level_four,male,UKI,1,ukip,4.32861755148728e-06
level_four,male,UKJ,1,ukip,1.14041707949756e-07
level_four,male,UKK,1,ukip,2.54997837709494e-06
level_four,male,UKL,1,ukip,9.06718002438539e-07
level_four,male,UKM,1,ukip,9.15084047025685e-06
level_four,female,UKC,1,ukip,7.13490916824511e-08
level_four,female,UKD,1,ukip,4.57409038137746e-05
level_four,female,UKE,1,ukip,0.00283723203364468
level_four,female,UKF,1,ukip,0.0009919643353437
level_four,female,UKG,1,ukip,9.27947392441017e-06
level_four,female,UKH,1,ukip,2.91597888666538e-06
level_four,female,UKI,1,ukip,8.12336513076108e-06
level_four,female,UKJ,1,ukip,2.22088430939535e-07
level_four,female,UKK,1,ukip,4.95216346871879e-06
level_four,female,UKL,1,ukip,1.71029083250169e-06
level_four,female,UKM,1,ukip,1.74526527346779e-05
no_qualifications,male,UKC,1,libdem,0.0019027054305038
no_qualifications,male,UKD,1,libdem,0.0231042724850411
no_qualifications,male,UKE,1,libdem,0.026341313822017
no_qualifications,male,UKF,1,libdem,0.042910218020742
no_qualifications,male,UKG,1,libdem,0.0307350949179487
no_qualifications,male,UKH,1,libdem,0.059308745914515
no_qualifications,male,UKI,1,libdem,0.0937006591478786
no_qualifications,male,UKJ,1,libdem,0.0904445643637336
no_qualifications,male,UKK,1,libdem,0.154409418692633
no_qualifications,male,UKL,1,libdem,0.0172079025598238
no_qualifications,male,UKM,1,libdem,0.0246830622534383
no_qualifications,female,UKC,1,libdem,0.00164510275564315
no_qualifications,female,UKD,1,libdem,0.0201899315043252
no_qualifications,female,UKE,1,libdem,0.023179433218483
no_qualifications,female,UKF,1,libdem,0.0384873899152906
no_qualifications,female,UKG,1,libdem,0.0271630183138512
no_qualifications,female,UKH,1,libdem,0.053608283905632
no_qualifications,female,UKI,1,libdem,0.0807060257783612
no_qualifications,female,UKJ,1,libdem,0.082334329188284
no_qualifications,female,UKK,1,libdem,0.140648695344849
no_qualifications,female,UKL,1,libdem,0.0150769323040741
no_qualifications,female,UKM,1,libdem,0.0219194457872041
level_one,male,UKC,1,libdem,0.00117956582223189
level_one,male,UKD,1,libdem,0.0145337841353911
level_one,male,UKE,1,libdem,0.0167895960853964
level_one,male,UKF,1,libdem,0.0275113583629682
level_one,male,UKG,1,libdem,0.0197885488004853
level_one,male,UKH,1,libdem,0.0385483889368924
level_one,male,UKI,1,libdem,0.0621765537059884
level_one,male,UKJ,1,libdem,0.0603079852633021
level_one,male,UKK,1,libdem,0.106937088781
level_one,male,UKL,1,libdem,0.0133486699504981
level_one,male,UKM,1,libdem,0.015742554573308
level_one,female,UKC,1,libdem,0.00102186175535436
level_one,female,UKD,1,libdem,0.0127018598062097
level_one,female,UKE,1,libdem,0.0147561493908104
level_one,female,UKF,1,libdem,0.0245556834057484
level_one,female,UKG,1,libdem,0.0174382740212568
level_one,female,UKH,1,libdem,0.0346312765070772
level_one,female,UKI,1,libdem,0.0532177819079316
level_one,female,UKJ,1,libdem,0.0544753965926461
level_one,female,UKK,1,libdem,0.0962675227931956
level_one,female,UKL,1,libdem,0.0116200727128991
level_one,female,UKM,1,libdem,0.0139321263428418
level_two,male,UKC,1,libdem,0.0015660161962368
level_two,male,UKD,1,libdem,0.0191165165810908
level_two,male,UKE,1,libdem,0.0220392191198661
level_two,male,UKF,1,libdem,0.0360179634154171
level_two,male,UKG,1,libdem,0.0258868106783262
level_two,male,UKH,1,libdem,0.0502148764639303
level_two,male,UKI,1,libdem,0.0787430302256492
level_two,male,UKJ,1,libdem,0.077277011958411
level_two,male,UKK,1,libdem,0.133059259339419
level_two,male,UKL,1,libdem,0.0175462109456926
level_two,male,UKM,1,libdem,0.0206465372313094
level_two,female,UKC,1,libdem,0.00136207442837257
level_two,female,UKD,1,libdem,0.0167651241821904
level_two,female,UKE,1,libdem,0.0194091954092982
level_two,female,UKF,1,libdem,0.0320605440529293
level_two,female,UKG,1,libdem,0.0228100052839967
level_two,female,UKH,1,libdem,0.0450155493025186
level_two,female,UKI,1,libdem,0.0678649435122306
level_two,female,UKJ,1,libdem,0.0696269237646001
level_two,female,UKK,1,libdem,0.119736690296445
level_two,female,UKL,1,libdem,0.0152652145733974
level_two,female,UKM,1,libdem,0.0182339235494985
level_three,male,UKC,1,libdem,0.00323176678444714
level_three,male,UKD,1,libdem,0.0382504847933475
level_three,male,UKE,1,libdem,0.0436904800655454
level_three,male,UKF,1,libdem,0.0697157609861378
level_three,male,UKG,1,libdem,0.0511821745634267
level_three,male,UKH,1,libdem,0.0939656745249711
level_three,male,UKI,1,libdem,0.144038274430696
level_three,male,UKJ,1,libdem,0.140029018197614
level_three,male,UKK,1,libdem,0.22470501705163
level_three,male,UKL,1,libdem,0.0337144493185359
level_three,male,UKM,1,libdem,0.0410183911872805
level_three,female,UKC,1,libdem,0.00279703669410059
level_three,female,UKD,1,libdem,0.0335557069559523
level_three,female,UKE,1,libdem,0.0385388538514533
level_three,female,UKF,1,libdem,0.0626838552927756
level_three,female,UKG,1,libdem,0.0453593577938785
level_three,female,UKH,1,libdem,0.0853916293349754
level_three,female,UKI,1,libdem,0.125286485029151
level_three,female,UKJ,1,libdem,0.128268189363641
level_three,female,UKK,1,libdem,0.206326912927071
level_three,female,UKL,1,libdem,0.0294526277143907
level_three,female,UKM,1,libdem,0.0364164169492263
level_four,male,UKC,1,libdem,0.00341999603443966
level_four,male,UKD,1,libdem,0.0405155516649796
level_four,male,UKE,1,libdem,0.0468319351663702
level_four,male,UKF,1,libdem,0.0735104713105164
level_four,male,UKG,1,libdem,0.0554994844560043
level_four,male,UKH,1,libdem,0.099265765489927
level_four,male,UKI,1,libdem,0.149978603654051
level_four,male,UKJ,1,libdem,0.147711978636974
level_four,male,UKK,1,libdem,0.232365279997277
level_four,male,UKL,1,libdem,0.0371914466677168
level_four,male,UKM,1,libdem,0.043962712748731
level_four,female,UKC,1,libdem,0.00300196474661218
level_four,female,UKD,1,libdem,0.0359517027917699
level_four,female,UKE,1,libdem,0.0417250705752486
